"Código","Nome ","Estado","UF","Latitude","Longitude","Altitude (m)","Tmed","Tmax","Tmin","Tmax Abs","Tmin Abs","Colunas4","Colunas5","Pres","Inso","Evap","Neb","Neb Hora","UR","UR Hora","Prec","Prec Max","Prec N° Dias","PDec","Pdec N°D","NPSec","Vento Int","Vento u","Vento v","Vento DirRes","Vento DirPred","Nº Normais"
"83010","Brasiléia","Acre","AC","11°01'S","68°44'W","260.0","","","","","","","","","","X","","","","","","","","","","","","","","","","1"
"82704","Cruzeiro do Sul","Acre","AC","07°38'S","72°40'W","170.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"82915","Rio Branco","Acre","AC","09°58'S","67°48'W","160.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"82807","Tarauacá","Acre","AC","08°10'S","70°46'W","190.0","X","X","X","X","X","","","","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83098","Coruripe","Alagoas","AL","10°09'S","36°10'W","56.1","X","X","X","X","X","","","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"82994","Maceió","Alagoas","AL","09°40'S","35°42'W","64.5","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"82988","Mata Grande","Alagoas","AL","09°07'S","37°44'W","635.0","","","X","","X","","","","","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","15"
"82992","Palmeira dos Índios","Alagoas","AL","09°27'S","36°42'W","274.9","","","X","","X","","","","","X","X","X","X","X","X","X","X","","X","","","","","","","11"
"82990","Pão de Acuçar","Alagoas","AL","09°45'S","37°26'W","19.1","","","","","","","","","","X","","","","","","","","","","","","","","","","1"
"82996","Porto de Pedras","Alagoas","AL","09°11'S","35°26'W","50.0","","","","","","","","X","","","X","X","","","","","","","","","","","","","","3"
"82113","Barcelos","Amazonas","AM","00°58'S","62°55'W","40.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"82410","Benjamin Constant","Amazonas","AM","04°23'S","70°02'W","65.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
